coach_code,name,gender,function,country_code,disciplines,birth_date
4043246,FAALUPEGA Avii,F,Head Coach,SAM,Rugby Sevens,1986-03-26
4044836,DAVID EP CHIRILCENCO Georgeta,F,Coach,ALG,Artistic Gymnastics,1974-03-10
4119109,ELZEFTAWEY Tarek,M,Assistant Coach,EGY,Volleyball,1975-04-12
4645809,GAARENSTROOM Jordan Jon,M,Coach,SYR,Artistic Gymnastics,1992-01-14
4646497,PROST KOSIR Primoz,M,Assistant Coach,SLO,Handball,1983-07-14
4649776,TRAORE Alioune,M,Coach,MLI,Taekwondo,1962-06-14
4653058,COCCIA Kristina,F,Coach,HAI,Artistic Gymnastics,1988-12-19
4653997,KAMKASOUMPHOU Ekvara,M,Coach,MLI,Taekwondo,1975-04-12
4658462,KHAJAVI Naeima,M,Coach,EGY,Taekwondo,1965-09-19
4847471,LAWSON Franck,M,Coach,BUR,Taekwondo,1976-09-23
4968759,Mc DONALD Janelle Leigh,F,Coach,PHI,Artistic Gymnastics,1982-12-21
4968917,QUESNEL Yannick,M,Goalkeeper Coach,GUI,Football,1973-10-24
4976780,TANSKANEN Juha Petteri,M,Coach,SYR,Artistic Gymnastics,1971-02-03
5016082,CHOUBA Jaouad,F,Coach,GBS,Taekwondo,1982-11-02
9230002,HERDEIRO Alvaro Francisco,M,Assistant Coach,BRA,Handball,1969-06-23
9230003,MAROJA Gabriel Augusto,M,Assistant Coach,BRA,Handball,1996-05-07
9230006,ALONSO BERNARDO Jessica,F,Assistant Coach,ESP,Handball,1983-09-20
9230010,LARSSON Thomas Erik Daniel,M,Assistant Coach,NED,Handball,
9230012,CAROU Gonzalo,M,Assistant Coach,ARG,Handball,
9230013,CAZON Guillermo,M,Assistant Coach,ARG,Handball,
9230017,CAAMANO Juan,M,Assistant Coach,ESP,Handball,1990-12-06
9230018,TORRESCUSA Ignacio,M,Assistant Coach,ESP,Handball,1994-07-21
9230020,GJERDE Joar,M,Assistant Coach,NOR,Handball,1988-11-01
9390001,BONDAR Vladyslav,M,Coach,BUR,Taekwondo,1998-03-26
9430008,CICHELLO Juan Manuel,M,Assistant Coach,ITA,Volleyball,
9450042,VASSILIADES Emmanuel,M,Assistant Coach,GRE,Water Polo,1979-08-03
